newid,Isolate_Id,Isolate_Name,Collection_Date,Subtype,Genotype,Location,continent,host,host_type,Wild bird order
EPI_ISL_18968549|A/crow/Hokkaido/B094/2024|H5N5|Asia|2024-02-09|wild_avian|A6 ,EPI_ISL_18968549,A/crow/Hokkaido/B094/2024,2024.02.09,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,crow,wild_avian,Passeriformes
EPI_ISL_18968550|A/large-billed crow/Hokkaido/B098/2024|H5N5|Asia|2024-02-13|wild_avian|A6 ,EPI_ISL_18968550,A/large-billed crow/Hokkaido/B098/2024,2024.02.13,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19033208|A/large-billed crow/Hokkaido/B106/2024|H5N5|Asia|2024-02-19|wild_avian|A6 ,EPI_ISL_19033208,A/large-billed crow/Hokkaido/B106/2024,2024.02.19,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385178|A/large-billed crow/Hokkaido/B105/2024|H5N5|Asia|2024-02-19|wild_avian|A6 ,EPI_ISL_19385178,A/large-billed crow/Hokkaido/B105/2024,2024.02.19,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19033207|A/large-billed crow/Hokkaido/B104/2024|H5N5|Asia|2024-02-20|wild_avian|A6 ,EPI_ISL_19033207,A/large-billed crow/Hokkaido/B104/2024,2024.02.20,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385179|A/large-billed crow/Hokkaido/B107/2024|H5N5|Asia|2024-02-20|wild_avian|A6 ,EPI_ISL_19385179,A/large-billed crow/Hokkaido/B107/2024,2024.02.20,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385478|A/large-billed crow/Hokkaido/B108/2024|H5N5|Asia|2024-02-21|wild_avian|A6 ,EPI_ISL_19385478,A/large-billed crow/Hokkaido/B108/2024,2024.02.21,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19033209|A/large-billed crow/Hokkaido/B112/2024|H5N5|Asia|2024-02-23|wild_avian|A6 ,EPI_ISL_19033209,A/large-billed crow/Hokkaido/B112/2024,2024.02.23,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385627|A/large-billed crow/Hokkaido/B115/2024|H5N5|Asia|2024-02-26|wild_avian|A6 ,EPI_ISL_19385627,A/large-billed crow/Hokkaido/B115/2024,2024.02.26,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385628|A/large-billed crow/Hokkaido/B117/2024|H5N5|Asia|2024-03-13|wild_avian|A6 ,EPI_ISL_19385628,A/large-billed crow/Hokkaido/B117/2024,2024.03.13,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385629|A/large-billed crow/Hokkaido/B119/2024|H5N5|Asia|2024-03-15|wild_avian|A6 ,EPI_ISL_19385629,A/large-billed crow/Hokkaido/B119/2024,2024.03.15,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19055087|A/large-billed crow/Hokkaido/B120/2024|H5N5|Asia|2024-03-16|wild_avian|A6 ,EPI_ISL_19055087,A/large-billed crow/Hokkaido/B120/2024,2024.03.16,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19174744|A/large-billed crow/Hokkaido/B157/2024|H5N5|Asia|2024-04-30|wild_avian|A6 ,EPI_ISL_19174744,A/large-billed crow/Hokkaido/B157/2024,2024.04.30,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19055417|A/large-billed crow/Iwate/0302G004/2024|H5N5|Asia|2024-02-28|wild_avian|A6 ,EPI_ISL_19055417,A/large-billed crow/Iwate/0302G004/2024,2024.02.28,H5N5,A6 ,Asia / Japan / Iwate / Ofunato,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19055418|A/large-billed crow/Iwate/0302G005/2024|H5N5|Asia|2024-02-29|wild_avian|A6 ,EPI_ISL_19055418,A/large-billed crow/Iwate/0302G005/2024,2024.02.29,H5N5,A6 ,Asia / Japan / Iwate / Ofunato,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19055419|A/large-billed crow/Iwate/0302G006/2024|H5N5|Asia|2024-02-29|wild_avian|A6 ,EPI_ISL_19055419,A/large-billed crow/Iwate/0302G006/2024,2024.02.29,H5N5,A6 ,Asia / Japan / Iwate / Ofunato,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19139300|A/large-billed crow/Iwate/0303G014/2024|H5N5|Asia|2024-03-19|wild_avian|A6 ,EPI_ISL_19139300,A/large-billed crow/Iwate/0303G014/2024,2024.03.19,H5N5,A6 ,Asia / Japan / Iwate / Ofunato,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19536849|A/Larus_canus/Belgium/14463_0003/2024 (H5N5)|H5N5|Europe|2024-10-05|wild_avian|A6 ,EPI_ISL_19536849,A/Larus_canus/Belgium/14463_0003/2024 (H5N5),2024.10.05,H5N5,A6 ,Europe / Belgium / Provincie West-Vlaanderen / Middelkerke,Europe,Larus_canus,wild_avian,Charadriiformes
EPI_ISL_19711785|A/white-tailed_eagle/Finland/8258/2022|H5N5|Europe|2022-09-18|wild_avian|A6,EPI_ISL_19711785,A/white-tailed_eagle/Finland/8258/2022,2022.09.18,H5N5,A6,Europe / Finland,Europe,white-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_20134500|A/golden_eagle/Finland/5959/2025|H5N5|Europe|2025-06-13|wild_avian|A6 ,EPI_ISL_20134500,A/golden_eagle/Finland/5959/2025,2025.06.13,H5N5,A6 ,Europe / Finland,Europe,golden_eagle,wild_avian,Accipitriformes
EPI_ISL_19014083|A/gull/Germany-NI/2024AI01280/2024|H5N5|Europe|2024-02-08|wild_avian|A6 ,EPI_ISL_19014083,A/gull/Germany-NI/2024AI01280/2024,2024.02.08,H5N5,A6 ,Europe / Germany,Europe,gull,wild_avian,Charadriiformes
EPI_ISL_19014082|A/European Herring Gull/Germany-SH/2024AI01287/2024|H5N5|Europe|2024-02-09|wild_avian|A6 ,EPI_ISL_19014082,A/European Herring Gull/Germany-SH/2024AI01287/2024,2024.02.09,H5N5,A6 ,Europe / Germany,Europe,European_Herring_Gull,wild_avian,Charadriiformes
EPI_ISL_19602385|A/Northern Fulmar/Germany-NI/2024AI04273/2024|H5N5|Europe|2024-09-21|wild_avian|A6 ,EPI_ISL_19602385,A/Northern Fulmar/Germany-NI/2024AI04273/2024,2024.09.21,H5N5,A6 ,Europe / Germany / Lower Saxony,Europe,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_18497662|A/Common eider/Iceland/2023AI08561/2023|H5N5|Europe|2023-09-25|wild_avian|A6 ,EPI_ISL_18497662,A/Common eider/Iceland/2023AI08561/2023,2023.09.25,H5N5,A6 ,Europe / Iceland,Europe,Common_eider,wild_avian,Anseriformes
EPI_ISL_19704708|A/Common raven/Iceland/2024AI04842/2024|H5N5|Europe|2024-09-22|wild_avian|A6 ,EPI_ISL_19704708,A/Common raven/Iceland/2024AI04842/2024,2024.09.22,H5N5,A6 ,Europe / Iceland,Europe,Common_raven,wild_avian,Passeriformes
EPI_ISL_19704711|A/European herring gull/Iceland/2024AI05120/2024|H5N5|Europe|2024-11-22|wild_avian|A6 ,EPI_ISL_19704711,A/European herring gull/Iceland/2024AI05120/2024,2024.11.22,H5N5,A6 ,Europe / Iceland,Europe,European_herring_gull,wild_avian,Charadriiformes
EPI_ISL_19704713|A/Turkey/Iceland/2024AI05124/2024|H5N5|Europe|2024-12-03|domestic_avian|A6 ,EPI_ISL_19704713,A/Turkey/Iceland/2024AI05124/2024,2024.12.03,H5N5,A6 ,Europe / Iceland,Europe,Turkey,domestic_avian,
EPI_ISL_19704717|A/Black-legged Kittiwake/Iceland/2025AI00596/2024|H5N5|Europe|2024-12-12|wild_avian|A6 ,EPI_ISL_19704717,A/Black-legged Kittiwake/Iceland/2025AI00596/2024,2024.12.12,H5N5,A6 ,Europe / Iceland,Europe,Black-legged_Kittiwake,wild_avian,Charadriiformes
EPI_ISL_19704719|A/cat/Iceland/2025AI00605/2024|H5N5|Europe|2024-12-23|nonhuman_mammal|A6 ,EPI_ISL_19704719,A/cat/Iceland/2025AI00605/2024,2024.12.23,H5N5,A6 ,Europe / Iceland,Europe,cat,nonhuman_mammal,
EPI_ISL_20142255|A/Greylag goose/Iceland/2025AI03228/2025|H5N5|Europe|2025-02-13|wild_avian|A6 ,EPI_ISL_20142255,A/Greylag goose/Iceland/2025AI03228/2025,2025.02.13,H5N5,A6 ,Europe / Iceland,Europe,Greylag_goose,wild_avian,Anseriformes
EPI_ISL_20142265|A/Iceland gull/Iceland/2025AI03229/2025|H5N5|Europe|2025-03-07|wild_avian|A6 ,EPI_ISL_20142265,A/Iceland gull/Iceland/2025AI03229/2025,2025.03.07,H5N5,A6 ,Europe / Iceland,Europe,Iceland_gull,wild_avian,Charadriiformes
EPI_ISL_19361216|A/Pine Marten/Netherlands/1/2024|H5N5|Europe|2024-02-01|nonhuman_mammal|A6 ,EPI_ISL_19361216,A/Pine Marten/Netherlands/1/2024,2024.02.01,H5N5,A6 ,"Europe / Netherlands / Castricum, Noord-Holland",Europe,Pine_Marten,nonhuman_mammal,
EPI_ISL_19696452|A/Black-headed Gull/Netherlands/24030889-002/2024|H5N5|Europe|2024-12-08|wild_avian|A6 ,EPI_ISL_19696452,A/Black-headed Gull/Netherlands/24030889-002/2024,2024.12.08,H5N5,A6 ,Europe / Netherlands / Provincie Friesland,Europe,Black-headed_Gull,wild_avian,Charadriiformes
EPI_ISL_19053253|A/Northern Fulmar/Netherlands/2/2024|H5N5|Europe|2024-01-25|wild_avian|A6 ,EPI_ISL_19053253,A/Northern Fulmar/Netherlands/2/2024,2024.01.25,H5N5,A6 ,"Europe / Netherlands / Provincie Noord-Holland / Texel, Ferry Harbour",Europe,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_19053252|A/Northern Fulmar/Netherlands/1/2024|H5N5|Europe|2024-01-24|wild_avian|A6 ,EPI_ISL_19053252,A/Northern Fulmar/Netherlands/1/2024,2024.01.24,H5N5,A6 ,"Europe / Netherlands / Provincie Noord-Holland / Texel, Paal 15",Europe,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_19053254|A/Northern Fulmar/Netherlands/3/2024|H5N5|Europe|2024-01-28|wild_avian|A6 ,EPI_ISL_19053254,A/Northern Fulmar/Netherlands/3/2024,2024.01.28,H5N5,A6 ,"Europe / Netherlands / Provincie Noord-Holland / Texel, Paal 6",Europe,Northern_Fulmar,wild_avian,Procellariiformes
EPI_ISL_19596152|A/Crow/Norway/2024-07-3052-K/2024|H5N5|Europe|2024-11-22|wild_avian|A6 ,EPI_ISL_19596152,A/Crow/Norway/2024-07-3052-K/2024,2024.11.22,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Batsfjord,Europe,Crow,wild_avian,Passeriformes
EPI_ISL_18877920|A/Northern_gannet/Norway/2022-07-1233-1/2022|H5N5|Europe|2022-06-21|wild_avian|A6 ,EPI_ISL_18877920,A/Northern_gannet/Norway/2022-07-1233-1/2022,2022.06.21,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Finnmark,Europe,Northern_gannet,wild_avian,Suliformes
EPI_ISL_19550894|A/Crow/Norway/2024-07-2937-4/2024|H5N5|Europe|2024-10-31|wild_avian|A6 ,EPI_ISL_19550894,A/Crow/Norway/2024-07-2937-4/2024,2024.10.31,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Hasvik,Europe,Crow,wild_avian,Passeriformes
EPI_ISL_18901687|A/White-tailed_eagle/Norway/2022-07-981-1/2022|H5N5|Europe|2022-06-08|wild_avian|A6 ,EPI_ISL_18901687,A/White-tailed_eagle/Norway/2022-07-981-1/2022,2022.06.08,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Loppa / Finnmark,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_18851409|A/Great_black-backed_gull/Norway/2022-07-3018-2/2022|H5N5|Europe|2022-10-03|wild_avian|A6 ,EPI_ISL_18851409,A/Great_black-backed_gull/Norway/2022-07-3018-2/2022,2022.10.03,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Nordkap,Europe,Great_black-backed_gull,wild_avian,Charadriiformes
EPI_ISL_18901678|A/White-tailed_eagle/Norway/2022-07-446-1/2022|H5N5|Europe|2022-05-04|wild_avian|A6 ,EPI_ISL_18901678,A/White-tailed_eagle/Norway/2022-07-446-1/2022,2022.05.04,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vadso,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_18838729|A/Great_black-backed_gull/Norway/2022-07-1137-1/2022|H5N5|Europe|2022-06-15|wild_avian|A6 ,EPI_ISL_18838729,A/Great_black-backed_gull/Norway/2022-07-1137-1/2022,2022.06.15,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vadso,Europe,Great_black-backed_gull,wild_avian,Charadriiformes
EPI_ISL_20127651|A/Common_gull/Norway/2025-07-1759-1-1/2025|H5N5|Europe|2025-07-15|wild_avian|A6 ,EPI_ISL_20127651,A/Common_gull/Norway/2025-07-1759-1-1/2025,2025.07.15,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vadso,Europe,Common_gull,wild_avian,Charadriiformes
EPI_ISL_20144826|A/Common_gull/Norway/2025-07-1985-1-1/2025|H5N5|Europe|2025-07-30|wild_avian|A6 ,EPI_ISL_20144826,A/Common_gull/Norway/2025-07-1985-1-1/2025,2025.07.30,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vadso,Europe,Common_gull,wild_avian,Charadriiformes
EPI_ISL_18901649|A/Great_black-backed_gull/Norway/2022-07-2739-1/2022|H5N5|Europe|2022-09-20|wild_avian|A6 ,EPI_ISL_18901649,A/Great_black-backed_gull/Norway/2022-07-2739-1/2022,2022.09.20,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vadso / Finnmark,Europe,Great_black-backed_gull,wild_avian,Charadriiformes
EPI_ISL_18855701|A/Common_gull/Norway/2022-07-897-3/2022|H5N5|Europe|2022-05-30|wild_avian|A6 ,EPI_ISL_18855701,A/Common_gull/Norway/2022-07-897-3/2022,2022.05.30,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Common_gull,wild_avian,Charadriiformes
EPI_ISL_18855708|A/Herring_gull/Norway/2022-07-897-4/2022|H5N5|Europe|2022-05-30|wild_avian|A6 ,EPI_ISL_18855708,A/Herring_gull/Norway/2022-07-897-4/2022,2022.05.30,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Herring_gull,wild_avian,Charadriiformes
EPI_ISL_18856077|A/Common_gull/Norway/2022-07-1140-1/2022|H5N5|Europe|2022-06-15|wild_avian|A6 ,EPI_ISL_18856077,A/Common_gull/Norway/2022-07-1140-1/2022,2022.06.15,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Common_gull,wild_avian,Charadriiformes
EPI_ISL_18455200|A/European_herring_gull/Norway/2022-07-1141-1T/2022|H5N5|Europe|2022-06-15|wild_avian|A6 ,EPI_ISL_18455200,A/European_herring_gull/Norway/2022-07-1141-1T/2022,2022.06.15,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,European_herring_gull,wild_avian,Charadriiformes
EPI_ISL_18455201|A/Great_black-backed_gull/Norway/2022-07-1141-4T/2022|H5N5|Europe|2022-06-15|wild_avian|A6 ,EPI_ISL_18455201,A/Great_black-backed_gull/Norway/2022-07-1141-4T/2022,2022.06.15,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Great_black-backed_gull,wild_avian,Charadriiformes
EPI_ISL_18856025|A/Herring_gull/Norway/2022-07-1141-3/2022|H5N5|Europe|2022-06-15|wild_avian|A6 ,EPI_ISL_18856025,A/Herring_gull/Norway/2022-07-1141-3/2022,2022.06.15,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Herring_gull,wild_avian,Charadriiformes
EPI_ISL_18901717|A/White-tailed_eagle/Norway/2022-07-1141-5/2022|H5N5|Europe|2022-06-15|wild_avian|A6 ,EPI_ISL_18901717,A/White-tailed_eagle/Norway/2022-07-1141-5/2022,2022.06.15,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_19510838|A/Great_black-backed_gull/Norway/2024-07-2502-1/2024|H5N5|Europe|2024-10-07|wild_avian|A6 ,EPI_ISL_19510838,A/Great_black-backed_gull/Norway/2024-07-2502-1/2024,2024.10.07,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Great_black-backed_gull,wild_avian,Charadriiformes
EPI_ISL_19907403|A/Raven/Norway/2025-07-1040-1-1/2025|H5N5|Europe|2025-05-29|wild_avian|A6 ,EPI_ISL_19907403,A/Raven/Norway/2025-07-1040-1-1/2025,2025.05.29,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Raven,wild_avian,Passeriformes
EPI_ISL_20050590|A/Common_gull/Norway/2025-07-1155-2-2/2025|H5N5|Europe|2025-06-10|wild_avian|A6 ,EPI_ISL_20050590,A/Common_gull/Norway/2025-07-1155-2-2/2025,2025.06.10,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo,Europe,Common_gull,wild_avian,Charadriiformes
EPI_ISL_18901684|A/White-tailed_eagle/Norway/2022-07-693-1/2022|H5N5|Europe|2022-05-13|wild_avian|A6 ,EPI_ISL_18901684,A/White-tailed_eagle/Norway/2022-07-693-1/2022,2022.05.13,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo / Finnmark,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_18901686|A/White-tailed_eagle/Norway/2022-07-977-1/2022|H5N5|Europe|2022-05-24|wild_avian|A6 ,EPI_ISL_18901686,A/White-tailed_eagle/Norway/2022-07-977-1/2022,2022.05.24,H5N5,A6 ,Europe / Norway / Finnmark Fylke / Vardo / Finnmark,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_18961445|A/White-tailed_eagle/Norway/2023-07-2937-1/2023|H5N5|Europe|2023-10-04|wild_avian|A6 ,EPI_ISL_18961445,A/White-tailed_eagle/Norway/2023-07-2937-1/2023,2023.10.04,H5N5,A6 ,Europe / Norway / More og Romsdal Fylke / Smola / Hustadvika,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_18860084|A/White-tailed_eagle/Norway/2022-07-100/2022|H5N5|Europe|2022-02-25|wild_avian|A6 ,EPI_ISL_18860084,A/White-tailed_eagle/Norway/2022-07-100/2022,2022.02.25,H5N5,A6 ,Europe / Norway / Nordland Fylke / Bodo,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_19510887|A/White-tailed_eagle/Norway/2024-07-2691/2024|H5N5|Europe|2024-10-15|wild_avian|A6 ,EPI_ISL_19510887,A/White-tailed_eagle/Norway/2024-07-2691/2024,2024.10.15,H5N5,A6 ,Europe / Norway / Nordland Fylke / Meloy / Reipå,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_19510870|A/European_herring_gullNorway/2024-07-2365/2024|H5N5|Europe|2024-09-27|wild_avian|A6 ,EPI_ISL_19510870,A/European_herring_gullNorway/2024-07-2365/2024,2024.09.27,H5N5,A6 ,Europe / Norway / Nordland Fylke / Oksnes,Europe,European_herring_gullNorway,wild_avian,Charadriiformes
EPI_ISL_19550912|A/Herring_gull/Norway/2024-07-2919/2024|H5N5|Europe|2024-10-25|wild_avian|A6 ,EPI_ISL_19550912,A/Herring_gull/Norway/2024-07-2919/2024,2024.10.25,H5N5,A6 ,Europe / Norway / Nordland Fylke / Somna,Europe,Herring_gull,wild_avian,Charadriiformes
EPI_ISL_19614580|A/Gull/Norway/2024-07-3071-1/2024|H5N5|Europe|2024-11-28|wild_avian|A6 ,EPI_ISL_19614580,A/Gull/Norway/2024-07-3071-1/2024,2024.11.28,H5N5,A6 ,Europe / Norway / Rogaland Fylke / Klepp,Europe,Gull,wild_avian,Charadriiformes
EPI_ISL_18851332|A/Northern_goshawk/Norway/2023-07-184-1/2023|H5N5|Europe|2023-03-13|wild_avian|A6 ,EPI_ISL_18851332,A/Northern_goshawk/Norway/2023-07-184-1/2023,2023.03.13,H5N5,A6 ,Europe / Norway / Rogaland Fylke / Stavanger,Europe,Northern_goshawk,wild_avian,Accipitriformes
EPI_ISL_19234791|A/Gull/Norway/2023-07-2935-1/2023|H5N5|Europe|2023-10-04|wild_avian|A6 ,EPI_ISL_19234791,A/Gull/Norway/2023-07-2935-1/2023,2023.10.04,H5N5,A6 ,Europe / Norway / Sogn og Fjordane Fylke / Askvoll,Europe,Gull,wild_avian,Charadriiformes
EPI_ISL_18838519|A/White-tailed_eagle/Norway/2024-07-14/2024|H5N5|Europe|2024-01-16|wild_avian|A6 ,EPI_ISL_18838519,A/White-tailed_eagle/Norway/2024-07-14/2024,2024.01.16,H5N5,A6 ,Europe / Norway / Sogn og Fjordane Fylke / Hoyanger Herad,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_19561783|A/Chicken/Norway/2024-07-3002-5/2024|H5N5|Europe|2024-11-12|domestic_avian|A6 ,EPI_ISL_19561783,A/Chicken/Norway/2024-07-3002-5/2024,2024.11.12,H5N5,A6 ,Europe / Norway / Sor-Trondelag Fylke / Froya,Europe,Chicken,domestic_avian,
EPI_ISL_19561786|A/Duck/Norway/2024-07-3002-2/2024|H5N5|Europe|2024-11-12|wild_avian|A6 ,EPI_ISL_19561786,A/Duck/Norway/2024-07-3002-2/2024,2024.11.12,H5N5,A6 ,Europe / Norway / Sor-Trondelag Fylke / Froya,Europe,Duck,wild_avian,Anseriformes
EPI_ISL_18901641|A/White-tailed_eagle/Norway/2022-07-198-1/2022|H5N5|Europe|2022-03-24|wild_avian|A6 ,EPI_ISL_18901641,A/White-tailed_eagle/Norway/2022-07-198-1/2022,2022.03.24,H5N5,A6 ,Europe / Norway / Sor-Trondelag Fylke / Hitra / Sor-Trondalag,Europe,White-tailed_eagle,wild_avian,Accipitriformes
EPI_ISL_19575904|A/Great_black-backed_gull/Norway/2024-07-3000-1T/2024|H5N5|Europe|2024-11-12|wild_avian|A6 ,EPI_ISL_19575904,A/Great_black-backed_gull/Norway/2024-07-3000-1T/2024,2024.11.12,H5N5,A6 ,Europe / Norway / Troms Fylke / Kvaenangen,Europe,Great_black-backed_gull,wild_avian,Charadriiformes
EPI_ISL_19561787|A/Gull/Norway/2024-07-3000-2/2024|H5N5|Europe|2024-11-12|wild_avian|A6 ,EPI_ISL_19561787,A/Gull/Norway/2024-07-3000-2/2024,2024.11.12,H5N5,A6 ,Europe / Norway / Troms Fylke / Kvaenangen,Europe,Gull,wild_avian,Charadriiformes
EPI_ISL_19661724|A/Lynx/Norway/2024-04-36256/2024|H5N5|Europe|2024-12-18|nonhuman_mammal|A6 ,EPI_ISL_19661724,A/Lynx/Norway/2024-04-36256/2024,2024.12.18,H5N5,A6 ,Europe / Norway / Troms Fylke / Kvaenangen,Europe,Lynx,nonhuman_mammal,
EPI_ISL_19510710|A/Gull/Norway/2024-07-2684-1/2024|H5N5|Europe|2024-10-10|wild_avian|A6 ,EPI_ISL_19510710,A/Gull/Norway/2024-07-2684-1/2024,2024.10.10,H5N5,A6 ,Europe / Norway / Troms Fylke / Senja,Europe,Gull,wild_avian,Charadriiformes
EPI_ISL_19232150|A/Red_fox/Norway/2024-80-12-1/2024|H5N5|Europe|2024-02-15|nonhuman_mammal|A6 ,EPI_ISL_19232150,A/Red_fox/Norway/2024-80-12-1/2024,2024.02.15,H5N5,A6 ,Europe / Norway / Troms Fylke / Storfjord / Skibotn,Europe,Red_fox,nonhuman_mammal,
